price,link,title,location,description,Nearest intersection,Bedrooms,Bathrooms,Unit type,Parking included,sqft,sqm
1600.0,/v-apartments-condos/mississauga-peel-region/newly-renovated-basement-for-rent-in-brampton/1695012233,Newly renovated basement for rent in Brampton,Brampton,"Freshly painted open concept basement apartment, partially furnished, main intersections Dixie and Williams Parkway. Comes with separate entrance. Available for 1st July. Looking for tenants staying ...",MacKay Street South / Wolverton Crescent,1.0,1.0,Basement,1,700.0,65.0321
1850.0,/v-apartments-condos/city-of-toronto/renovated-bachelor-suite-available-lakeview-towers/1685200605,RENOVATED BACHELOR SUITE  AVAILABLE! Lakeview Towers,City of Toronto,"Bachelors, 1 Bath, Recently Renovated Kitchen with New Appliances, Spectacular Location with CN Tower views, Unit available. Contact us at 647-694-2142! Located at 22 Close Avenue (King & Dunn) ...",Jameson Avenue / Springhurst Avenue,0.0,1.0,Apartment,0,445.0,41.341835
1150.0,/v-apartments-condos/city-of-toronto/scarborough-studio-basement-apt-for-rent-from-july-1st/1695142383,Scarborough Studio basement Apt. for rent from July 1st,Toronto,"Basement Studio/Bachelor apartment with two private separate entrances, private kitchen and private washroom (completely separated from upstairs ) , is available for rent from July 1st near Midland ...",Danforth Road / Midland Avenue,0.0,1.0,Basement,1,350.0,32.51605
2590.0,/v-apartments-condos/city-of-toronto/3-rm-apartment-available-near-warden-station-mins-to-downtown/1695142152,"3 Rm. Apartment available near Warden station, mins. to downtown",Toronto,ONE OF THE BEST TRANSIT HUB FOR BUS AND TRAINS IN THE CITY OF TORONTO Furnished room (as shown in the picture) is available on the 2nd floor level in a 3-room apartment. Bright lots of sunlight into ...,Kennedy Road / St Clair Avenue East,3.0,1.0,Apartment,0,1000.0,92.903
2300.0,/v-apartments-condos/city-of-toronto/1-bed-den-at-yonge-dundas-2300/1695142086,1 BED+DEN AT YONGE-DUNDAS 2300$,Toronto,45th FLOOR IS A 52 STOREY TOWER Brand new building never lived in unit by Yonge-Dundas square. Big balcony This 1 BED + DEN unit has excellent functional layout with abundant sunlight. Seeking ...,Dundas Street East / Dalhousie Street,1.5,1.0,Condo,0,555.0,51.561165
3250.0,/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent-wilson-bathurst/1695141992,3 BEDROOM APARTMENT FOR RENT (WILSON/BATHURST),Toronto,KAMUSTA Property Type: House Bedrooms: 3 Lease Term: Yearly No Smoking No Pets Allowed Available from: August/1/2024 Monthly Rent: $3250 Intersection: Bathurst and Wilson (LITTLE MANILA) Beautiful 3 ...,Sheppard Avenue West / Yeomans Road,3.0,1.0,Basement,1,1200.0,111.4836
1300.0,/v-apartments-condos/city-of-toronto/1-studio-for-rent-in-toronto-west-single-occupancy-no-couples/1690572638,1 STUDIO FOR RENT IN TORONTO WEST! SINGLE  OCCUPANCY(NO COUPLES),Old Toronto,Description - available for rent immediately. - in-suite kitchen with burners (no stove) and full fridge - full bathroom. - option for laundry in house for $25/mont - will be shared with the owners ...,Old Weston Road / Rockwell Avenue,0.0,1.0,Basement,0,550.0,51.09665
1850.0,/v-apartments-condos/oshawa-durham-region/basement/1695141888,Basement,Oshawa / Durham Region,"**1-Bedroom Basement Apartment for Rent - Liverpool Road, Pickering** Newly renovated 1-bedroom basement apartment available in Pickering on Liverpool Road. Close to everything you need! - **5-min ...",Liverpool Road / Haller Avenue,1.0,1.0,Basement,1,1100.0,102.1933
2500.0,/v-apartments-condos/mississauga-peel-region/walk-out-two-bedroom-basement-for-rent/1695141648,Walk out Two-Bedroom Basement for rent,Churchville,Walk out Two-Bedroom Basement for rent - 2 beds · 1 bath. Bigger windows/lots of sunlight - 1 parking spot included - Newly renovated just now - Portlights throughout - Lots of storage space inside - ...,Steeles Avenue West / Polonia Avenue,2.0,1.0,Basement,1,900.0,83.6127
2350.0,/v-apartments-condos/mississauga-peel-region/condo-for-rent-mississauga-square-one-prince-of-wales/1695141130,Condo for Rent Mississauga Square One- Prince of Wales,Mississauga / Peel Region,"Prince of Wales Condo Square One: One Bedroom Condo For Rent @ Square One-Downtown Miss Luxurious Condo In Prestigious Daniels Built Park Tower One. **Better Then New** 9'Ceilings, Across From ...",Confederation Parkway / Prince Of Wales Drive,1.0,1.0,Condo,1,654.0,60.758562
