price,link,title,location,description,Nearest intersection,Bedrooms,Bathrooms,Unit type,Parking included,sqft,sqm
1950.0,/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-mainstreet-estates/1647498775,Guildford Apartment For Rent | Mainstreet Estates,Delta/Surrey/Langley,"Mainstreet Estates is professionally managed by Mainstreet Equity Welcome to Mainstreet Estates Modern Suites Available At The Best Location In Surrey We are within walking distance to Superstore, ...",150 Street / 107A Avenue,1.0,1.0,Apartment,0,625.0,58.064375
2245.0,/v-apartments-condos/burnaby-new-westminster/skyview-apartments-1-bdrm-available-at-908-sixth-avenue-new-w/1686872272,"Skyview Apartments - 1 Bdrm available at 908 Sixth Avenue, New W",New Westminster,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/skyview-apartments/ Landscaped lobby ...,Eighth Street / Sixth Avenue,1.0,1.0,Apartment,0,595.0,55.277285
3400.0,/v-apartments-condos/richmond-bc/pet-friendly-3-beds-2-bath-newly-renovated-house-for-rent/1692334637,Pet Friendly 3 beds 2 bath newly renovated house for rent,Richmond,"Well behaved pets welcome! Newly renovated house available to stable, long term tenants (minimum 6 months term) Fully furnished, everything comes with the suite shown in photo. Brand new appliances. ...",No 1 Road / Tyson Place,3.0,1.5,House,2,1000.0,92.903
3300.0,/v-apartments-condos/vancouver-downtown-west-end/westend-condo-for-rent/1694959559,Westend Condo for Rent,Vancouver,"West of Denman reinforced concrete strata, located on large property with outdoor pool, manicured gardens offers fully renovated two bedroom SE corner. Enjoy great light & views to English Bay & city ...",Denman Street / Haro Street,2.0,1.0,Condo,1,780.0,72.46433999999999
2499.0,/v-apartments-condos/vancouver/luxury-studio-in-central-downtown/1683693793,Luxury Studio in central Downtown,Vancouver,Please call 7783164156 This amazing downtown Vancouver furnished studio rental at the Wall Center is right in the heart of all the action (1050 Burrard St.) and allows you to experience inner city ...,Burrard Street / Comox Street,0.0,1.0,Apartment,1,500.0,46.4515
3200.0,/v-apartments-condos/tricities-pitt-maple/beautiful-3-bedrooms-upper-suite-for-rent/1695140251,Beautiful 3 bedrooms upper suite for rent,Tricities/Pitt/Maple,"Prime location, best neighborhood and extremely convenient. Walking distance to Alexander Robinson Elementary, Thomas Haney Secondary, public transit, and shopping. We are looking for a small family ...",232 Street / 116 Avenue,3.0,1.5,House,2,1250.0,116.12875
3504.0,/v-apartments-condos/vancouver-downtown-west-end/chronicle-junior-1-bedroom-apartment-for-rent/1689919788,Chronicle - Junior 1 Bedroom Apartment for Rent,Vancouver,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...",Robson Street / Nicola Street,1.0,1.0,Apartment,0,511.0,47.473433
4429.0,/v-apartments-condos/vancouver-downtown-west-end/chronicle-2-bedroom-apartment-for-rent/1671321313,Chronicle - 2 Bedroom Apartment for Rent,Vancouver,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...",Robson Street / Nicola Street,2.5,2.0,Apartment,0,800.0,74.3224
3355.0,/v-apartments-condos/vancouver-downtown-west-end/chronicle-1-bedroom-apartment-for-rent/1689242855,Chronicle - 1 Bedroom Apartment for Rent,Downtown-West End,"Downtown Vancouver's newest rental high-rise community, on Robson Street. Learn more at RentChronicle.com Key Features (unfurnished) Pet-friendly True Air Conditioning Pet-friendly (Pets subject to ...",Robson Street / Nicola Street,1.5,1.0,Apartment,0,627.0,58.250181
2045.0,/v-apartments-condos/delta-surrey-langley/apartment-for-rent/1695137703,Apartment for rent,Delta/Surrey/Langley,Text message 2363349498 Minimum 1 year lease,56 Avenue / 200 Street,1.0,1.0,Apartment,0,650.0,60.38695
2065.0,/v-apartments-condos/delta-surrey-langley/the-meridian-apartments-1-bdrm-available-at-5363-201-street/1687611906,"The Meridian Apartments - 1 Bdrm available at 5363 - 201 Street,",Delta/Surrey/Langley,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-meridian-apartments/ The Meridian offers you luxury apartments for rent in the ...,200 Street / 53A Avenue,1.0,1.0,Apartment,0,585.0,54.348255
2195.0,/v-apartments-condos/delta-surrey-langley/the-meridian-apartments-1-bdrm-den-available-at-5363-201-s/1687611898,The Meridian Apartments - 1 Bdrm + Den available at 5363 - 201 S,Delta/Surrey/Langley,1 Month Rent Free + $500 Security Deposit Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/the-meridian-apartments/ The Meridian offers you luxury apartments for rent in the ...,200 Street / 53A Avenue,1.5,1.0,Apartment,0,758.0,70.420474
4400.0,/v-apartments-condos/vancouver/century-3-bedrooms-apartment-for-rent/1690239465,Century - 3 Bedrooms Apartment for Rent,Vancouver,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker's paradise as the ...",East 13th Street / St Andrews Avenue,3.0,2.0,Apartment,0,981.0,91.137843
3500.0,/v-apartments-condos/burnaby-new-westminster/pet-friendly-large-2-bed-2-bath-apartment-in-brentwood/1695136492,"(Pet Friendly) Large 2 Bed, 2 Bath Apartment in Brentwood",Burnaby,**Message or Apply Now at https://liv.rent/listings/oVNZRL6NvW** Entire Apartment at Motif 4400 Buchanan Street Unit Details: 2 bedroom 2 bathroom Size: 1167 sqft Unfurnished Rental Terms and ...,Willingdon Avenue / Buchanan Street,2.0,2.0,Apartment,1,1167.0,108.417801
1980.0,/v-apartments-condos/vancouver-downtown-west-end/2-bedroom-suite-in-a-house-in-west-vancouver-for-rent/1695135666,2-bedroom suite in a house in West Vancouver for rent!,West Vancouver,"West Vancouver good school district house has a rental suite with 2 bedrooms, 1 living room, 1 bathroom on the lower lever, independent entrance, and ready to move in now! This house is located near ...",Taylor Way / Taylor Place,2.0,1.0,Basement,0,700.0,65.0321
1950.0,/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-mainstreet-estates/1647498775,Guildford Apartment For Rent | Mainstreet Estates,Delta/Surrey/Langley,"Mainstreet Estates is professionally managed by Mainstreet Equity Welcome to Mainstreet Estates Modern Suites Available At The Best Location In Surrey We are within walking distance to Superstore, ...",150 Street / 107A Avenue,1.0,1.0,Apartment,0,625.0,58.064375
2000.0,/v-apartments-condos/delta-surrey-langley/surrey-central-apartment-for-rent-imperial-parkside/1647498131,Surrey Central Apartment For Rent | Imperial Parkside,Delta/Surrey/Langley,"Imperial Parkside is professionally managed by Mainstreet Equity Rental Suite Amenities: Suites are fully renovated with laminate floors, tile kitchen and bathroom. New carpets and new appliances. ...",96 Avenue / 127 Street,1.0,1.0,Apartment,0,550.0,51.09665
1900.0,/v-apartments-condos/delta-surrey-langley/newton-apartment-for-rent-cedartree-village/1647497717,Newton Apartment For Rent | Cedartree Village,Delta/Surrey/Langley,"Cedartree Village is professionally managed by Mainstreet Equity Welcome to Cedartree Village Rental Suite Amenities: Renovated 1,2,3 bedroom suites. Most suites have fireplaces, laminate floors, ...",King George Boulevard / Hall Road,1.0,1.0,Apartment,0,585.0,54.348255
2000.0,/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-greenwood-gardens/1647498830,Guildford Apartment For Rent | Greenwood Gardens,Delta/Surrey/Langley,"Greenwood Gardens is professionally managed by Mainstreet Equity Rental Suite Amenities: Suites are fully renovated with laminate floors, tile kitchen and bathroom. New carpets and new appliances. ...",148 Street / 104 Avenue,1.0,1.0,Apartment,0,664.0,61.687592
900.0,/v-apartments-condos/burnaby-new-westminster/one-cozy-bedroom-with-a-private-bathroom/1695132942,One Cozy Bedroom with a Private Bathroom,Coquitlam,One Cozy Bedroom with a Private Bathroom for $900/month! Just a Quick 10-minute Bus Ride to Douglas College. Female Tenants Only Phone: 778-903-2665 Email: congguo12@gmail.com ✨ One Bed-One Bathroom ...,Plateau Boulevard / Sugarpine Court,1.0,1.0,House,1,400.0,37.1612
2450.0,/v-apartments-condos/burnaby-new-westminster/2-bed-1-bath-ground-level-south-facing-for-rent-near-parkgate/1695132136,2 Bed 1 Bath Ground Level South Facing for Rent near Parkgate,North Vancouver,"Our private ground floor 2 bedroom suite is available for rent July 1, 2024. Located near Parkgate, just 5 mins drive to Deep Cove. - bright suit facing south, over the ground, with separate entrance ...",Mt Seymour Parkway / Strathaven Drive,2.5,1.0,House,2,1000.0,92.903
1400.0,/v-apartments-condos/delta-surrey-langley/2-bedroom-2-bathroom/1693500308,2 bedroom 2 bathroom,Delta,"Private bedroom in a 2 Bed 2Bathroom available for rent. Opposite King George skytrain station. Building has a secure entry, residents lounge, cafe, games room, co-working space, gym. Skytrain ...",80 Avenue / 119 Street,2.0,2.0,Apartment,0,860.0,79.89658
2725.0,/v-apartments-condos/delta-surrey-langley/renovated-2-bdrm-across-from-king-george-skytrain/1689799365,Renovated 2 bdrm across from King George SkyTrain,Surrey,"**Gorgeous fully renovated 2 bedroom suites are going fast at Surrey Village!** 25% off any Telus Optik TV and internet product monthly* Key Property Details: Suites have brand new cupboards, counter ...",King George Boulevard / 98A Avenue,2.0,1.0,Apartment,0,832.0,77.295296
2250.0,/v-apartments-condos/vancouver/2-bedroom-suite-rental-heart-of-commercial-drive/1691006654,2 Bedroom Suite Rental - Heart of Commercial Drive,Vancouver,"2 Bedroom Suite, Heart of Commercial Drive, East Vancouver. Ideal for two adults and 1-2 children. Lower floor of heritage home. Shared laundry. New appliances, newly painted. $2250 per month. Plus ...",Commercial Drive / Kitchener Street,2.0,1.0,House,0,750.0,69.67725
2400.0,/v-apartments-condos/burnaby-new-westminster/great-location-1-bed-den-for-rent-lougheedtowncenter-sfu/1693576562,Great location! 1 Bed + Den for rent -  LougheedTownCenter (SFU),Coquitlam,"Luxurious near new 1 bed & den 580 Sqft high-rise apartment located across from City of Lougheed Mall, next to Coquitlam college, 7 minutes drive to SFU Burnaby campus. Walking distance to Lougheed ...",Whiting Way / Brookmere Avenue,1.5,1.0,Apartment,1,580.0,53.88374
3300.0,/v-apartments-condos/vancouver-downtown-west-end/westend-condo-for-rent/1694959559,Westend Condo for Rent,Vancouver,"West of Denman reinforced concrete strata, located on large property with outdoor pool, manicured gardens offers fully renovated two bedroom SE corner. Enjoy great light & views to English Bay & city ...",Denman Street / Haro Street,2.0,1.0,Condo,1,780.0,72.46433999999999
1900.0,/v-apartments-condos/vancouver/1-bedroom-suite-for-rent/1695124698,1 Bedroom Suite For Rent,Vancouver,"One Bedroom Suite for Rent Location: Vancouver (Collingwood area) Type: One Bedroom Suite Size: 627sqft (approx.) Rent: $1900 per month (for 1 tenant) Term: 1 year We are seeking a quiet, clean, and ...",Kingsway / Melbourne Street,1.0,1.0,Apartment,0,627.0,58.250181
2550.0,/v-apartments-condos/vancouver/1-bed-plus-den-lougheed-burnaby/1695124645,1 bed plus Den Lougheed Burnaby,Burnaby,Please contact me https://www.dropbox.com/scl/fo/lgmftfj60pbqacvv6ubc5/ADLmPaC_z6L0-P18PTgwwOU?rlkey=5xkccjutniepy6r7piuomw23g&st=lzfe9lkj&dl=0,Lougheed Highway / Douglas Road,1.5,1.0,Apartment,1,561.0,52.118583
