price,link,title,location,description,attributes
"$3,800.00",/v-apartments-condos/vancouver/large-2-bedroom-downtown-english-bay/1544546193,LARGE 2 BEDROOM - DOWNTOWN ENGLISH BAY,Vancouver,*Conditions apply and quoted prices are subject to change based on availability - Contact our leasing team now for availability* In the heart of Vancouver's west end! Beach Towers offers a wide range ...,"{'Nearest intersection': 'Beach Avenue / Bidwell Street', 'Bedrooms': '2', 'Bathrooms': '1.5', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$1,950.00",/v-apartments-condos/delta-surrey-langley/guildford-apartment-for-rent-mainstreet-estates/1647498775,Guildford Apartment For Rent | Mainstreet Estates,Delta/Surrey/Langley,"Mainstreet Estates is professionally managed by Mainstreet Equity Welcome to Mainstreet Estates Modern Suites Available At The Best Location In Surrey We are within walking distance to Superstore, ...","{'Nearest intersection': '150 Street / 107A Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '625sqft'}"
"$2,245.00",/v-apartments-condos/burnaby-new-westminster/skyview-apartments-1-bdrm-available-at-908-sixth-avenue-new-w/1686872272,"Skyview Apartments - 1 Bdrm available at 908 Sixth Avenue, New W",New Westminster,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/skyview-apartments/ Landscaped lobby ...,"{'Nearest intersection': 'Eighth Street / Sixth Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '595sqft'}"
"$3,400.00",/v-apartments-condos/richmond-bc/pet-friendly-3-beds-2-bath-newly-renovated-house-for-rent/1692334637,Pet Friendly 3 beds 2 bath newly renovated house for rent,Richmond,"Well behaved pets welcome! Newly renovated house available to stable, long term tenants (minimum 6 months term) Fully furnished, everything comes with the suite shown in photo. Brand new appliances. ...","{'Nearest intersection': 'No 1 Road / Tyson Place', 'Bedrooms': '3', 'Bathrooms': '1.5', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1000sqft'}"
"$3,300.00",/v-apartments-condos/vancouver-downtown-west-end/westend-condo-for-rent/1694959559,Westend Condo for Rent,Vancouver,"West of Denman reinforced concrete strata, located on large property with outdoor pool, manicured gardens offers fully renovated two bedroom SE corner. Enjoy great light & views to English Bay & city ...","{'Nearest intersection': 'Denman Street / Haro Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '780sqft'}"
"$2,499.00",/v-apartments-condos/vancouver/luxury-studio-in-central-downtown/1683693793,Luxury Studio in central Downtown,Vancouver,Please call 7783164156 This amazing downtown Vancouver furnished studio rental at the Wall Center is right in the heart of all the action (1050 Burrard St.) and allows you to experience inner city ...,"{'Nearest intersection': 'Burrard Street / Comox Street', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '500sqft'}"
"$4,750.00",/v-apartments-condos/delta-surrey-langley/clean-and-quiet-detached-house-for-rent/1695140804,Clean and Quiet Detached House for Rent,Surrey,"Welcome to your perfect family home! This meticulously maintained 2-story residence rests on a quiet, flat, no-through street and offers everything you need for comfortable living. Enjoy features and ...","{'Nearest intersection': '92 Avenue / Fleetwood Way', 'Bedrooms': '4', 'Bathrooms': '2.5', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '2290sqft'}"
"$3,200.00",/v-apartments-condos/tricities-pitt-maple/beautiful-3-bedrooms-upper-suite-for-rent/1695140251,Beautiful 3 bedrooms upper suite for rent,Tricities/Pitt/Maple,"Prime location, best neighborhood and extremely convenient. Walking distance to Alexander Robinson Elementary, Thomas Haney Secondary, public transit, and shopping. We are looking for a small family ...","{'Nearest intersection': '232 Street / 116 Avenue', 'Bedrooms': '3', 'Bathrooms': '1.5', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1250sqft'}"
"$2,675.00",/v-apartments-condos/delta-surrey-langley/2-bed-2-bath-in-surrey-get-50-off-your-fmr/1694500675,2 Bed 2 Bath in Surrey | Get 50% off your FMR!,Surrey,"Metro comprises of four 6-storey buildings near Downtown Surrey. In these beautiful apartments buildings, it offers a mix of studio, one, and two bedroom suites with dens and extra bathrooms in ...","{'Nearest intersection': '58 Avenue / King George Boulevard', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
"$1,999.00",/v-apartments-condos/delta-surrey-langley/1-bed-in-surrey-bc-get-half-off-of-your-fmr/1694500672,"1 Bed in Surrey, BC | Get half off of your FMR!",Surrey,"Metro comprises of four 6-storey buildings near Downtown Surrey. In these beautiful apartments buildings, it offers a mix of studio, one, and two bedroom suites with dens and extra bathrooms in ...","{'Nearest intersection': '58 Avenue / King George Boulevard', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': None}"
